,languages,num_speakers,low_eng_prof,speaker_perc,low_prof_perc,group_labels,subgroup_labels
121,..Malayalam,146310,41535,0.0005019478189579917,0.00014249472121126503,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
122,..Tamil,190685,33885,0.000654185768970027,0.00011624975630778176,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
123,..Munda,2030,235,6.964350163930854e-06,8.062178761200742e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
124,..Burushaski,95,-1,3.2591786481449807e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
125,..Tibetan,16730,9735,5.7395851351016345e-05,3.339800435756988e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
126,..Burmese,62645,44530,0.00021491710148741297,0.0001527697107388379,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
127,..Karen,30185,26440,0.00010355611315184869,9.070808784942453e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
128,..Kachin,520,415,1.7839714705635685e-06,1.4237464620843863e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
129,..Mien,19010,8220,6.52178801065643e-05,2.8200472092370256e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
130,..Paleo-siberian,530,385,1.8182786142282525e-06,1.3208250310903343e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
131,.Tagalog,1613346,516522,0.005534929300284329,0.0017720394459969913,ASIAN AND PACIFIC ISLAND LANGUAGES,
132,.Other Pacific Island languages,421513,160786,0.001446090704753195,0.0005516108401269883,ASIAN AND PACIFIC ISLAND LANGUAGES,subgroup_header
133,..Indonesian,67410,29400,0.00023126445544363491,0.00010086300237417098,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
134,..Achinese,-1,-1,-1.0,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
135,..Balinese,795,160,2.727417921342379e-06,5.489142986349442e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
136,..Cham,1050,500,3.602250084791821e-06,1.7153571832342005e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
137,..Javanese,495,135,1.6982036114018584e-06,4.631464394732341e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
138,..Malagasy,720,225,2.4701143438572485e-06,7.719107324553902e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
139,..Malay,14580,4910,5.001981546310929e-05,1.6844807539359848e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
140,..Minangkabau,15,-1,5.1460715497026015e-08,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
141,..Sundanese,35,35,1.2007500282639404e-07,1.2007500282639404e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
142,..Bisayan,29800,11505,0.00010223528812075834,3.947036878621895e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
143,..Sebuano,15700,4935,5.3862215553553895e-05,1.693057539852156e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
144,..Pangasinan,2265,1115,7.770568040050929e-06,3.825246518612267e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
145,..Ilocano,85755,47250,0.0002942009104964977,0.00016210125381563195,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
146,..Bikol,695,200,2.384346484695539e-06,6.861428732936802e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
147,..Pampangan,5620,2460,1.9280614739552413e-05,8.439557341512267e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
148,..Micronesian,7830,3435,2.686249348944758e-05,1.1784503848818957e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
149,..Carolinian,945,545,3.242025076312639e-06,1.8697393297252784e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
150,..Chamorro,19780,3195,6.785953016874497e-05,1.0961132400866542e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
151,..Gilbertese,170,85,5.832214422996281e-07,2.9161072114981405e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
152,..Kusaiean,1165,445,3.996782236935687e-06,1.5266678930784385e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
153,..Marshallese,18485,9545,6.341675506416839e-05,3.274616862794088e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
154,..Mokilese,500,190,1.7153571832342005e-06,6.518357296289961e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
155,..Mortlockese,-1,-1,-1.0,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
156,..Nauruan,-1,-1,-1.0,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
157,..Palau,4140,1290,1.420315747717918e-05,4.425621532744237e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
158,..Ponapean,3525,1495,1.2093268141801114e-05,5.128917977870259e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
159,..Trukese,8790,5200,3.0155979281257243e-05,1.7839714705635684e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
160,..Ulithean,40,-1,1.3722857465873605e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
161,..Woleai-Ulithi,140,-1,4.803000113055762e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
